id,description,account_id/id,refund_account_id/id,name,type_tax_use,tax_group_id/id,amount_type,amount,percent_report
account_tax344,344,20107010213,20107010213,RET. APLICABLES EL 2%,purchase,l10n_ec_tax.ret_ir,percent,-2,2
account_tax345,345,20107010214,20107010214,RET. APLICABLES EL 8%,purchase,l10n_ec_tax.ret_ir,percent,-8,8
account_tax346,346,20107010215,20107010215,RET. APLICABLES OTROS PORCENTAJES,purchase,l10n_ec_tax.ret_ir,percent,0,0
account_taxr1,1% IR,,,RETENCIONES A FAVOR DEL IMPUESTO A LA RENTA,purchase,l10n_ec_tax.ret_ir,percent,-1,1
account_taxr2,2% IS,,,RETENCIONES A FAVOR SERVICIOS,purchase,l10n_ec_tax.ret_ir,percent,-2,2
account_tax401,401,20107010101,20107010101,VENTAS LOCALES (EXC ACT FIJOS) GRAVADAS TARIFA 12%,sale,vat,percent,12,12
account_tax402,402,20107010102,20107010102,VENTAS DE ACTIVOS FIJOS GRAVADAS TARIFA 12%,sale,vat,percent,12,12
account_tax403,403,20107010103,20107010103,VENTAS LOCALES (EXC ACT FIJOS) GRAVADAS TARIFA 0% SIN CREDITO TRIBUTARIO,sale,vat0,percent,0,0
account_tax404,404,20107010104,20107010104,VENTAS DE ACT FIJOS GRAVADAS TARIFA 0% SIN CREDITO TRIBUTARIO,sale,vat0,percent,0,0
account_tax405,405,20107010105,20107010105,VENTAS LOCALES (EXC ACT FIJOS) GRAVADAS TARIFA 0% QUE DAN CREDITO TRIBUTARIO,sale,vat0,percent,0,0
account_tax406,406,20107010106,20107010106,VENTAS DE ACTIVOS FIJOS GRAVADAS TARIFA 0% QUE DAN CREDITO TRIBUTARIO,sale,vat0,percent,0,0
account_tax407,407,20107010107,20107010107,EXPORTACION DE BIENES,sale,vat,percent,0,0
account_tax408,408,20107010108,20107010108,EXPORTACION DE SERVICIOS,sale,vat,percent,0,0
account_tax500,500,10108010101,10108010101,ADQUISICIONES Y PAGOS (EXC ACT FIJOS) TARIFA 12% (CON CREDITO TRIBUTARIO),purchase,vat,percent,12,12
account_tax501,501,10108010102,10108010102,ADQUISICIONES LOCALES DE ACT FIJOS GRAVADOS TARIFA 12% (CON CREDITO TRIBUTARIO),purchase,vat,percent,12,12
account_tax502,502,10108010103,10108010103,OTRAS ADQUISICIONES Y PAGOS GRAVADOS TARIFA 12% (SIN CREDITO TRIBUTARIO),purchase,vat,percent,12,12
account_tax503,503,10108010104,10108010104,IMPORTACIONES DE SERVICIOS GRAVADOS TARIFA 12%,purchase,vat,percent,12,12
account_tax504,504,10108010105,10108010105,IMPORTACIONES DE BIENES (EXC ACT FIJOS) GRAVADOS TARIFA 12%,purchase,vat,percent,12,12
account_tax505,505,10108010106,10108010106,IMPORTACIONES DE ACTIVOS FIJOS GRAVADOS TARIFA 12%,purchase,vat,percent,12,12
account_tax506,506,10108010107,10108010107,IMPORTACIONES DE BIENES (INCLUYE ACT FIJOS) GRAVADOS TARIFA 0%,purchase,vat0,percent,0,0
account_tax507,507,10108010108,10108010108,ADQUISICIONES Y PAGOS (INCLUYE ACT FIJOS) GRAVADOS TARIFA 0%,purchase,vat0,percent,0,0
account_tax508,508,10108010109,10108010109,ADQUISICIONES REALIZADAS A CONTRIBUYENTES RISE,purchase,vat,percent,0,0
account_tax531,531,10108010110,10108010110,ADQUISICIONES NO OBJETO DE IVA,purchase,novat,percent,0,0
account_tax532,532,10108010111,10108010111,ADQUISICIONES EXENTAS DEL PAGO DE IVA,purchase,novat,percent,0,0
account_tax6091,609-10,20107010301,20107010301,RETENCIONES A LA EMPRESA DEL 10%,sale,ret_vat_srv,percent,-1.4,10
account_tax6092,609-20,20107010302,20107010302,RETENCIONES A LA EMPRESA DEL 20%,sale,ret_vat_b,percent,-2.8,20
account_tax6093,609-30,20107010303,20107010303,RETENCIONES A LA EMPRESA DEL 30%,sale,ret_vat_srv,percent,-4.2,30
account_tax6094,609-70,20107010304,20107010304,RETENCIONES A LA EMPRESA DEL 70%,sale,ret_vat_srv,percent,-9.8,70
account_tax6095,609-100,20107010305,20107010305,RETENCIONES A LA EMPRESA DEL 100%,sale,ret_vat_b,percent,-14,100
account_tax721,721,101050101,101050101,RETENCIONES DEL 10%,purchase,ret_vat_srv,percent,-1.4,10
account_tax723,723,101050102,101050102,RETENCIONES DEL 20%,purchase,ret_vat_b,percent,-2.8,20
account_tax725,725,101050103,101050103,RETENCIONES DEL 30%,purchase,ret_vat_srv,percent,-4.2,30
account_tax726,726,,,RETENCIONES DEL 50%,purchase,ret_vat_srv,percent,-7,50
account_tax727,727,101050104,101050104,RETENCIONES DEL 70%,purchase,ret_vat_srv,percent,-9.8,70
account_tax729,729,101050105,101050105,RETENCIONES DEL 100%,purchase,ret_vat_b,percent,-14,100
account_tax_comp2,1,,,COMPENSACIONES 2%,sale,comp,percent,-2,2
